city,cloudiness,date,country,humidity,lat,lng,max_temp,wind_speed
samarai,88,1586654759,PG,57,-10.62,150.67,83.46,4.41
sangar,99,1586654759,RU,94,63.92,127.47,32.23,6.51
ushuaia,40,1586654759,AR,75,-54.8,-68.3,41.0,20.8
rikitea,49,1586654759,PF,73,-23.12,-134.97,78.06,4.88
eyl,29,1586654760,SO,70,7.98,49.82,83.01,8.61
mar del plata,68,1586654353,AR,82,-38.0,-57.56,62.01,4.7
thompson,90,1586654373,CA,73,55.74,-97.86,19.4,16.11
port alfred,40,1586654132,ZA,78,-33.59,26.89,68.0,3.0
tual,89,1586654761,ID,69,-5.67,132.75,84.18,1.36
punta arenas,75,1586654607,CL,81,-53.15,-70.92,42.8,10.29
new norfolk,75,1586654761,AU,58,-42.78,147.06,59.0,14.99
burnie,41,1586654572,AU,64,-41.07,145.92,52.0,11.01
tecolutla,15,1586654762,MX,82,20.48,-97.02,81.68,12.86
jamestown,1,1586654762,US,48,42.1,-79.24,42.01,4.7
hurghada,0,1586654625,EG,32,27.26,33.81,66.2,11.41
severo-kurilsk,64,1586654763,RU,93,50.68,156.12,30.72,7.4
komsomolskiy,100,1586654763,UZ,76,40.43,71.72,57.2,6.93
busselton,92,1586654763,AU,57,-33.65,115.33,73.99,9.22
georgetown,20,1586654649,MY,79,5.41,100.34,86.0,5.82
puerto escondido,40,1586654562,MX,83,15.85,-97.07,82.4,8.05
fortuna,90,1586654535,US,76,40.6,-124.16,55.99,11.41
turukhansk,100,1586654765,RU,96,65.82,87.98,34.88,16.2
mahebourg,40,1586654766,MU,78,-20.41,57.7,78.01,14.99
morgan city,90,1586654766,US,73,29.7,-91.21,72.0,12.75
sagua de tanamo,2,1586654766,CU,66,20.58,-75.24,76.78,4.61
mount gambier,90,1586654766,AU,58,-37.83,140.77,57.2,6.93
saskylakh,12,1586654593,RU,90,71.92,114.08,1.02,12.59
atuona,38,1586654767,PF,64,-9.8,-139.03,82.67,5.21
hobart,75,1586654662,AU,58,-42.88,147.33,59.0,14.99
bethel,1,1586654768,US,48,41.37,-73.41,48.99,6.78
shache,100,1586654768,CN,22,38.42,77.24,54.39,2.08
saldanha,100,1586654668,ZA,93,-33.01,17.94,60.8,12.75
diffa,98,1586654769,NE,20,13.32,12.61,79.68,9.91
kapaa,90,1586654769,US,73,22.08,-159.32,78.8,17.22
vostok,23,1586654770,RU,51,46.49,135.88,37.56,4.47
albany,1,1586654770,US,38,42.6,-73.97,42.8,9.17
